"dataset","method","split_id","u1","u2","u3","u4","u5","u6","u7"
"debutanizer","unilasso_loo_true",18,0.397208780168638,-0.302948662683545,-0.191388530770819,0.234583766411801,-0.402378441727624,0,0
"debutanizer","unilasso_loo_true",19,0,-0.253627870064686,-0.173599700512059,0.16560884180417,-0.30636775432938,0,0
"debutanizer","unilasso_loo_true",20,0.348851230560826,-0.408744461957554,-0.199630709282343,0.2610806603263,-0.386665609450525,0,0
"debutanizer","unilasso_loo_true",21,0,-0.293248061075086,-0.162244614399095,0.181484862532128,-0.2955705148875,0,0
"debutanizer","unilasso_loo_true",22,0.267440734099827,-0.271303635189387,-0.198689054417651,0.244956067851224,-0.393995959296656,0,0
"debutanizer","unilasso_loo_true",23,0.302090725064923,-0.229701067991279,-0.179321046229758,0.219861691740506,-0.298263555587442,0,0
"debutanizer","unilasso_loo_true",24,0.364746247394294,-0.370736273110523,-0.187623602621155,0.241639927656591,-0.314048688235388,0,0
"debutanizer","unilasso_loo_true",25,0.314278143878375,-0.435325159001196,-0.173827556532589,0.274761764021294,-0.325327389352544,0,0
"debutanizer","unilasso_loo_true",26,0.369493774306623,-0.42555906664182,-0.201511285667711,0.246235964699392,-0.406645338516045,0,0
"debutanizer","unilasso_loo_true",27,0.343486928994521,-0.183807392013535,-0.187877409010048,0.282936962314908,-0.381016376084481,0,0
"debutanizer","unilasso_loo_true",28,0.393265682743279,-0.427920289963916,-0.196767811210547,0.244722597045965,-0.389731022782002,0,0
"debutanizer","unilasso_loo_true",29,0.323597407617257,-0.521653521711134,-0.162733654590006,0.236471737592231,-0.407570805481487,0,0
"debutanizer","unilasso_loo_true",30,0.357065639386159,-0.31856399993416,-0.187807206943401,0.263524217298606,-0.356814323007113,0,0
"debutanizer","unilasso_loo_true",31,0.299176376984447,-0.305298471526075,-0.214008913487392,0.225960045399056,-0.393397978573557,0,0
"debutanizer","unilasso_loo_true",32,0.353330118948425,-0.372898891659104,-0.156234996173648,0.252326884506569,-0.344088978887176,0,0
"debutanizer","unilasso_loo_true",33,0.361398006149982,-0.404842481862733,-0.167275387319955,0.276686493319208,-0.380928136391692,0,0
"debutanizer","unilasso_loo_true",34,0.401033242541769,-0.30463542409744,-0.177558099243651,0.267560237009393,-0.378775720484902,0,0
"debutanizer","unilasso_loo_true",35,0.394479701584463,-0.271651420982343,-0.182963530790338,0.253458290086515,-0.364832742452336,0,0
"debutanizer","unilasso_loo_true",36,0.295345730474534,-0.406493400794843,-0.185487267882209,0.254893203213843,-0.309542691699805,0,0
"debutanizer","unilasso_loo_true",37,0.401258944956813,-0.304904905922561,-0.185231877426676,0.272689816284035,-0.386609849087799,0,0
"debutanizer","unilasso_loo_true",38,0.3516923604458,-0.335399564474462,-0.178601425197452,0.253634671287653,-0.351960393037956,0,0
"debutanizer","unilasso_loo_true",39,0.4332929696213,-0.294567545018899,-0.178730786974204,0.253845177927993,-0.383700773639973,0,0
"debutanizer","unilasso_loo_true",40,0.286895568256495,-0.136903561398734,-0.192200631131333,0.193065698342466,-0.3624854946521,0,0
"debutanizer","unilasso_loo_true",41,0.327354300842474,-0.422580649495035,-0.225272723388738,0.186444582260915,-0.35244767780178,0,0
"debutanizer","unilasso_loo_true",42,0.307846878807423,-0.386807778013101,-0.179594919792144,0.245003673083546,-0.364582116577602,0,0
"debutanizer","unilasso_loo_true",43,0.430930551523614,-0.261350052191672,-0.189213748541134,0.26716638290032,-0.42965940292683,0,0
"debutanizer","unilasso_loo_true",44,0.380349530568977,-0.28953337948746,-0.200189023660481,0.287380185217863,-0.397926933073843,0,0
"debutanizer","unilasso_loo_true",45,0.371625264916207,-0.385221848130024,-0.178442429839482,0.265804071284376,-0.383185047461812,0,0
"debutanizer","unilasso_loo_true",46,0.438370899862817,-0.459466794034665,-0.185988518097373,0.291676158825005,-0.3869272426914,0,0
"debutanizer","unilasso_loo_true",47,0.445567379163129,-0.196037150921859,-0.209493213748687,0.231834115474804,-0.444918043928374,0,0
"debutanizer","unilasso_loo_true",48,0.401676344778497,-0.419373919502777,-0.179107774280108,0.299954982189602,-0.391096490366293,0,0
"debutanizer","unilasso_loo_true",49,0.343297105885217,-0.254529302555204,-0.191298749039363,0.287802274281943,-0.40706967335619,0,0
"debutanizer","unilasso_loo_true",50,0.379415108551413,-0.451679034471904,-0.181369201750115,0.229835237332009,-0.381183427151681,0,0
"debutanizer","unilasso_loo_true",51,0.363004696167198,-0.291757094331448,-0.189135394206169,0.253687919922203,-0.355973413797002,0,0
"debutanizer","unilasso_loo_true",52,0.341054449333799,-0.318840919779731,-0.177770980271217,0.22923662903913,-0.372502732200248,0,0
"debutanizer","unilasso_loo_true",53,0.330487751277419,-0.416075481928312,-0.185881609413489,0.271766057881435,-0.383347665895517,0,0
"debutanizer","unilasso_loo_true",54,0.345196695826125,-0.224597009826191,-0.1958839300016,0.259239364875227,-0.375263278181597,0,0
"debutanizer","unilasso_loo_true",55,0.268502854577352,-0.366492793568577,-0.185903582759788,0.222256610667513,-0.343482069014079,0,0
"debutanizer","unilasso_loo_true",56,0.216814202165201,-0.401597571068942,-0.177223048221166,0.243777001492398,-0.411574912313133,0,0
"debutanizer","unilasso_loo_true",57,0.445444425143283,-0.273388177114972,-0.186583345036182,0.306409319643884,-0.427629114327676,0,0
"debutanizer","unilasso_loo_true",58,0.30975456063648,-0.276907782740593,-0.184404207932013,0.252748002837634,-0.35031063034443,0,0
"debutanizer","unilasso_loo_true",59,0.275324876772935,-0.370448610279254,-0.210529149955139,0.194833481379691,-0.370008976815997,0,0
"debutanizer","unilasso_loo_true",60,0.368495312249206,-0.447404157418986,-0.158569525242921,0.271782996497514,-0.373338845725903,0,0
"debutanizer","unilasso_loo_true",61,0.459565853989812,-0.373303824539118,-0.198701213240657,0.247725766085621,-0.358438694292022,0,0
"debutanizer","unilasso_loo_true",62,0.383582535915036,-0.394983830663636,-0.176573017557745,0.227469468125995,-0.347355709242994,0,0
"debutanizer","unilasso_loo_true",63,0.360973918748029,-0.379798779488997,-0.190231783760053,0.25045873007712,-0.377220796838023,0,0
"debutanizer","unilasso_loo_true",64,0.20446141227782,-0.373377502744434,-0.170445541713083,0.22169185403055,-0.31253420988657,0,0
"debutanizer","unilasso_loo_true",65,0.362816695835127,-0.258435637390082,-0.200086847032947,0.174701808989675,-0.375984947982957,0,0
"debutanizer","unilasso_loo_true",66,0.356155137037025,-0.437547058835821,-0.167160125056923,0.274916183725608,-0.373807656900877,0,0
"debutanizer","unilasso_loo_true",67,0.412492342599369,-0.314833813788138,-0.186267140618313,0.287808149056851,-0.388649757941727,0,0
"debutanizer","unilasso_loo_true",68,0.330577758498865,-0.394913136552047,-0.206545297372666,0.210376863714561,-0.338264603134738,0,0
"debutanizer","unilasso_loo_true",69,0.22789940393497,-0.189026373253214,-0.173112524787322,0.267190745566358,-0.35392557811884,0,0
"debutanizer","unilasso_loo_true",70,0.338540797413231,-0.354800641783436,-0.175125270507946,0.27117711485238,-0.380162343484205,0,0
"debutanizer","unilasso_loo_true",71,0.278965006015133,-0.319164732519293,-0.188357317809377,0.213378437087868,-0.356668482378414,0,0
"debutanizer","unilasso_loo_true",72,0.35673552990396,-0.526417668446453,-0.187077496425821,0.254875088100178,-0.393412634968611,0,0
"debutanizer","unilasso_loo_true",73,0.303809035501448,-0.223971389874598,-0.230305604466487,0.257670795487034,-0.375465593134321,0,0
"debutanizer","unilasso_loo_true",74,0.457364542059507,-0.289418365244764,-0.202347027725072,0.318215814903325,-0.469262211434859,0,0
"debutanizer","unilasso_loo_true",75,0.310583537794974,-0.283009722606997,-0.184904818969486,0.271725852539181,-0.391500104759716,0,0
"debutanizer","unilasso_loo_true",76,0.325141342661865,-0.240930262102719,-0.188860186681562,0.265224889765988,-0.398050305620596,0,0
"debutanizer","unilasso_loo_true",77,0.451360582915868,-0.304497729323777,-0.191858608084842,0.27636629381527,-0.357662861130687,0,0
"debutanizer","unilasso_loo_true",78,0.315273481605761,-0.170364800468403,-0.192835435663292,0.255231675239672,-0.362487629806,0,0
"debutanizer","unilasso_loo_true",79,0.34275224851783,-0.394759714449902,-0.184360547861342,0.234778463461788,-0.401490119776087,0,0
"debutanizer","unilasso_loo_true",80,0.38849496783004,-0.365678026015881,-0.188258551011339,0.241016326361441,-0.401475424167146,0,0
"debutanizer","unilasso_loo_true",81,0.381275986394311,-0.47112083647544,-0.177196297898237,0.285920201005572,-0.350833421883337,0,0
"debutanizer","unilasso_loo_true",82,0.214025283964254,-0.393358299404394,-0.181772570818224,0.234344073987891,-0.388370309843795,0,0
"debutanizer","unilasso_loo_true",83,0.450351538416305,-0.322545918666954,-0.177028316531428,0.302599386525494,-0.379946803925056,0,0
"debutanizer","unilasso_loo_true",84,0.232681907502785,-0.0938934067664111,-0.165833504998716,0.24628198703701,-0.344820956845763,0,0
"debutanizer","unilasso_loo_true",85,0.387955562170877,-0.475238982577984,-0.177172110722352,0.281990089519654,-0.396469814643948,0,0
"debutanizer","unilasso_loo_true",86,0.38846204143237,-0.557038142903436,-0.178571141768693,0.271071894010436,-0.430074694508604,0,0
"debutanizer","unilasso_loo_true",87,0.404774302860552,-0.276550612982206,-0.200725967940557,0.277150070803806,-0.402962687969207,0,0
"debutanizer","unilasso_loo_true",88,0.343903284382712,-0.266947820860863,-0.169329979187709,0.294791772567531,-0.317735477371455,0,0
"debutanizer","unilasso_loo_true",89,0.370031346760362,-0.369776870486769,-0.172242841952737,0.233851076094794,-0.390356947222332,0,0
"debutanizer","unilasso_loo_true",90,0.368767969305236,-0.291758770836362,-0.174997064059846,0.263724239372061,-0.328408931129589,0,0
